Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 61.0,,2018-09-20 14:55:13,2018-09-20 14:57:14,"2m - 1,096s",FAILED
,,,,,,
Test Cases/TestCase1,Firefox 61.0,Common Condition and Control statements with Katalon Studio,2018-09-20 14:55:13,2018-09-20 14:55:54,"41,287s",FAILED
callTestCase,Firefox 61.0,,2018-09-20 14:55:13,2018-09-20 14:55:21,"8,215s",PASSED
callTestCase,Firefox 61.0,,2018-09-20 14:55:21,2018-09-20 14:55:52,"30,710s",FAILED
,,,,,,
Test Cases/TestCase1,Firefox 61.0,Common Condition and Control statements with Katalon Studio,2018-09-20 14:55:54,2018-09-20 14:56:34,"39,747s",FAILED
callTestCase,Firefox 61.0,,2018-09-20 14:55:54,2018-09-20 14:56:01,"7,125s",PASSED
callTestCase,Firefox 61.0,,2018-09-20 14:56:01,2018-09-20 14:56:32,"30,566s",FAILED
,,,,,,
Test Cases/TestCase1,Firefox 61.0,Common Condition and Control statements with Katalon Studio,2018-09-20 14:56:34,2018-09-20 14:57:14,"39,611s",FAILED
callTestCase,Firefox 61.0,,2018-09-20 14:56:34,2018-09-20 14:56:41,"7,025s",PASSED
callTestCase,Firefox 61.0,,2018-09-20 14:56:41,2018-09-20 14:57:12,"30,542s",FAILED
