Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Firefox 61.0,,2018-09-20 13:41:12,2018-09-20 13:41:47,"34,876s",ERROR
,,,,,,
Test Cases/TestCaseLogin,Firefox 61.0,,2018-09-20 13:41:12,2018-09-20 13:41:22,"10,052s",PASSED
openBrowser,Firefox 61.0,,2018-09-20 13:41:12,2018-09-20 13:41:17,"4,743s",PASSED
navigateToUrl,Firefox 61.0,,2018-09-20 13:41:17,2018-09-20 13:41:19,"2,090s",PASSED
click,Firefox 61.0,,2018-09-20 13:41:19,2018-09-20 13:41:19,"0,329s",PASSED
setText,Firefox 61.0,,2018-09-20 13:41:19,2018-09-20 13:41:20,"0,087s",PASSED
setText,Firefox 61.0,,2018-09-20 13:41:20,2018-09-20 13:41:20,"0,058s",PASSED
click,Firefox 61.0,,2018-09-20 13:41:20,2018-09-20 13:41:20,"0,378s",PASSED
,,,,,,
Test Cases/TestCaseLogin,Firefox 61.0,,2018-09-20 13:41:22,2018-09-20 13:41:31,"9,108s",PASSED
openBrowser,Firefox 61.0,,2018-09-20 13:41:22,2018-09-20 13:41:26,"4,038s",PASSED
navigateToUrl,Firefox 61.0,,2018-09-20 13:41:26,2018-09-20 13:41:28,"2,319s",PASSED
click,Firefox 61.0,,2018-09-20 13:41:28,2018-09-20 13:41:29,"0,258s",PASSED
setText,Firefox 61.0,,2018-09-20 13:41:29,2018-09-20 13:41:29,"0,063s",PASSED
setText,Firefox 61.0,,2018-09-20 13:41:29,2018-09-20 13:41:29,"0,062s",PASSED
click,Firefox 61.0,,2018-09-20 13:41:29,2018-09-20 13:41:29,"0,348s",PASSED
,,,,,,
Test Cases/TestCaseLogin,Firefox 61.0,,2018-09-20 13:41:31,2018-09-20 13:41:40,"9,041s",PASSED
openBrowser,Firefox 61.0,,2018-09-20 13:41:31,2018-09-20 13:41:35,"3,971s",PASSED
navigateToUrl,Firefox 61.0,,2018-09-20 13:41:35,2018-09-20 13:41:37,"2,205s",PASSED
click,Firefox 61.0,,2018-09-20 13:41:37,2018-09-20 13:41:38,"0,345s",PASSED
setText,Firefox 61.0,,2018-09-20 13:41:38,2018-09-20 13:41:38,"0,064s",PASSED
setText,Firefox 61.0,,2018-09-20 13:41:38,2018-09-20 13:41:38,"0,052s",PASSED
click,Firefox 61.0,,2018-09-20 13:41:38,2018-09-20 13:41:38,"0,355s",PASSED
,,,,,,
Test Cases/TestCaseMidiCareCaid,Firefox 61.0,,2018-09-20 13:41:40,2018-09-20 13:41:42,"2,128s",ERROR
Statement - If (midiCare),Firefox 61.0,,2018-09-20 13:41:40,2018-09-20 13:41:40,"0,017s",PASSED
,,,,,,
Test Cases/TestCaseMidiCareCaid,Firefox 61.0,,2018-09-20 13:41:42,2018-09-20 13:41:44,"2,047s",ERROR
Statement - If (midiCare),Firefox 61.0,,2018-09-20 13:41:42,2018-09-20 13:41:42,"0,000s",PASSED
,,,,,,
Test Cases/TestCaseMidiCareCaid,Firefox 61.0,,2018-09-20 13:41:44,2018-09-20 13:41:46,"2,046s",ERROR
Statement - If (midiCare),Firefox 61.0,,2018-09-20 13:41:44,2018-09-20 13:41:44,"0,000s",PASSED
